,mutual_information,lgbm_gain,rfe_rank,group,pruned_by_correlation,rank_mi,rank_gain,rank_rfe,consensus_rank,selected
hub_to_hub,0.007788352232409368,0.0003273078812673633,7.0,geospatial,False,19.0,87.0,117.5,74.5,False
is_evening_bank,0.0060513057930953185,6.106489858597109e-05,6.0,time,False,26.0,99.0,103.5,76.16666666666667,False
season,0.004142757602082492,5.7471850038688024e-05,5.0,time,False,39.0,101.0,89.5,76.5,False
origin_hour_departures,0.0014618835399218266,0.0009506477569418837,4.0,airport,False,86.0,73.0,75.5,78.16666666666667,False
route_bearing_deg,0.0,0.002737602869133577,2.0,geospatial,False,126.0,60.0,50.0,78.66666666666667,False
bank_pressure_3h,0.00026498358590321125,0.0021381254022211104,3.0,airport,False,113.0,65.0,61.5,79.83333333333333,False
dep_ifr,0.003804512930239312,2.8405429705219198e-05,5.0,weather,False,47.0,105.0,89.5,80.5,False
arr_wx_precip_mm,0.001205626798477022,0.0009179007930714077,4.0,weather,False,95.0,76.0,75.5,82.16666666666667,False
origin_elevation_ft,0.0006232973665494246,0.0007375815051889666,3.0,airport,False,107.0,79.0,61.5,82.5,False
dep_fog_risk,0.003062580986256558,2.4586848335842944e-05,5.0,weather,False,56.0,107.0,89.5,84.16666666666667,False
dest_region,0.0032382895440747905,0.0,4.0,geospatial,False,53.0,125.0,75.5,84.5,False
is_regional_jet,0.006028812806235351,0.0,6.0,flight,False,27.0,125.0,103.5,85.16666666666667,False
dest_latitude,0.0,0.0013129846764395772,3.0,geospatial,False,126.0,69.0,61.5,85.5,False
is_peak_hour,0.00208210229063166,0.0001351322821845121,5.0,time,False,75.0,94.0,89.5,86.16666666666667,False
origin_num_runways,0.0012060874761925522,0.00020875265301496953,4.0,airport,False,94.0,89.0,75.5,86.16666666666667,False
dep_wx_precip_mm,0.0007231478747689035,0.0006807360886122006,4.0,weather,False,103.0,80.0,75.5,86.16666666666667,False
at_risk_of_propagation,0.008697998522742889,0.0,7.0,historical,False,16.0,125.0,117.5,86.16666666666667,False
distance_band,0.002672304567048922,0.0,4.0,flight,False,63.0,125.0,75.5,87.83333333333333,False
dep_heat_stress,0.0,0.0008786014904911524,3.0,weather,False,126.0,77.0,61.5,88.16666666666667,False
origin_latitude,0.0003324599330152278,0.0008522165704397669,4.0,geospatial,False,111.0,78.0,75.5,88.16666666666667,False
dep_visibility_level,0.003976186671600823,2.5020768542484943e-05,7.0,weather,False,43.0,106.0,117.5,88.83333333333333,False
tight_turnaround,0.00204121464221374,6.070748653155544e-05,5.0,flight,False,77.0,100.0,89.5,88.83333333333333,False
is_eastbound,0.004058637242669194,0.0,6.0,geospatial,False,41.0,125.0,103.5,89.83333333333333,False
is_summer_peak,0.000705677165456553,0.00017247121865495674,4.0,time,False,104.0,92.0,75.5,90.5,False
is_weekend,0.0038766742190450287,0.0,6.0,time,False,45.0,125.0,103.5,91.16666666666667,False
is_westbound,0.0029345802661724374,1.6551382800537916e-05,6.0,geospatial,False,57.0,114.0,103.5,91.5,False
arr_wx_severity,0.0,0.000926072582223407,4.0,weather,False,126.0,75.0,75.5,92.16666666666667,False
dep_wx_condition,0.0013059543971143395,9.312481301594294e-05,5.0,weather,False,92.0,97.0,89.5,92.83333333333333,False
dep_wind_category,0.0018694169657362814,0.0005416680246520798,7.0,weather,False,79.0,83.0,117.5,93.16666666666667,False
high_altitude_origin,0.002718430538276584,2.3658921245658944e-05,7.0,geospatial,False,61.0,108.0,117.5,95.5,False
origin_region,0.0013841460066075228,2.2049820073001628e-05,5.0,geospatial,False,90.0,109.0,89.5,96.16666666666667,False
is_old_aircraft,0.0020646097132925867,0.0,6.0,flight,False,76.0,125.0,103.5,101.5,False
dep_lifr,0.001352093862701853,5.709474227498712e-05,7.0,weather,False,91.0,102.0,117.5,103.5,False
hub_pair_type,0.0,2.1304268033048886e-05,4.0,geospatial,False,126.0,110.0,75.5,103.83333333333333,False
is_monday,0.0003620107577193554,5.3281434237658255e-05,6.0,time,False,110.0,103.0,103.5,105.5,False
origin_is_slot_constrained,0.0,7.710484254261125e-05,6.0,airport,False,126.0,98.0,103.5,109.16666666666667,False
dep_is_freezing,0.0004508826922282605,3.354705202805736e-05,7.0,weather,False,109.0,104.0,117.5,110.16666666666667,False
in_holiday_window,0.0005088085622089178,0.0,6.0,time,False,108.0,125.0,103.5,112.16666666666667,False
dep_is_storm,0.0,0.00012268655036397675,7.0,weather,False,126.0,95.0,117.5,112.83333333333333,False
arr_is_storm,0.001170776748078195,0.0,7.0,weather,False,96.0,125.0,117.5,112.83333333333333,False
same_region,0.0,0.0,5.0,geospatial,False,126.0,125.0,89.5,113.5,False
is_major_travel_holiday,4.353990103833638e-05,0.0,6.0,time,False,116.0,125.0,103.5,114.83333333333333,False
origin_over_capacity,0.0,0.0,6.0,airport,False,126.0,125.0,103.5,118.16666666666667,False
is_winter_ops,0.0,0.0,6.0,time,False,126.0,125.0,103.5,118.16666666666667,False
arr_wx_condition,0.0,2.0152660676658936e-05,7.0,weather,False,126.0,112.0,117.5,118.5,False
arr_ifr,0.00014334827257811433,0.0,7.0,weather,False,114.0,125.0,117.5,118.83333333333333,False
both_ends_bad_wx,0.0,0.0,7.0,weather,False,126.0,125.0,117.5,122.83333333333333,False
dep_is_snow,0.0,0.0,7.0,weather,False,126.0,125.0,117.5,122.83333333333333,False
dep_wx_snow_mm,0.0,0.0,7.0,weather,False,126.0,125.0,117.5,122.83333333333333,False
prev_leg_arr_delay_min,0.015036280596126161,0.03296311302237853,,historical,True,6.0,6.0,,1006.0,False
prev_leg_dep_delay_min,0.040431112561048366,0.010884707231207425,,historical,True,3.0,14.0,,1008.5,False
scheduled_ground_time_min,0.009896548057787058,0.01961084849220999,,historical,True,9.0,9.0,,1009.0,False
carrier_vs_system_delay,0.01266426406937815,0.002580339108968422,,historical,True,7.0,62.0,,1034.5,False
distance_km,0.004215781276404762,0.003912558092902688,,flight,True,37.0,49.0,,1043.0,False
dep_hour,0.007439076875425998,0.0013687702101419406,,time,True,21.0,68.0,,1044.5,False
route_volume_30d,0.0022338492984852465,0.002970575954286587,,historical,True,68.0,57.0,,1062.5,False
week_of_year,0.0023775201707390003,0.000678492753886201,,time,True,67.0,81.0,,1074.0,False
turnaround_buffer_min,0.0049110315735654275,0.0,,flight,True,35.0,125.0,,1080.0,False
month,0.002184486162450039,2.0790880396594426e-05,,time,True,72.0,111.0,,1091.5,False
quarter,0.00030062201375091746,1.9816672217184882e-05,,time,True,112.0,113.0,,1112.5,False
